timestamp,request_count,free_heap,uptime_sec,rssi,cpu_temp,cpu_total,cpu_core0,cpu_core1
2026-07-24T03:13:39.221,1,212168,364,-40,45.6,1.1,2.3,0.0
2026-07-24T03:13:40.367,1,211752,365,-37,45.6,2.6,3.7,1.6
2026-07-24T03:13:41.525,1,211744,366,-39,45.6,2.9,3.6,2.1
2026-07-24T03:13:42.729,1,211736,367,-37,45.6,3.1,4.1,2.1
2026-07-24T03:13:43.851,1,211740,368,-37,45.6,2.9,3.7,2.1
2026-07-24T03:13:45.113,1,211760,370,-39,45.6,1.2,2.4,0.0
2026-07-24T03:13:46.337,1,211760,371,-38,45.6,3.3,4.5,2.1
2026-07-24T03:13:47.533,1,211760,372,-39,45.6,3.5,4.9,2.2
2026-07-24T03:13:48.696,1,211748,373,-38,45.6,2.9,3.7,2.0
2026-07-24T03:13:49.893,1,211748,374,-40,45.6,2.9,3.8,2.0
2026-07-24T03:13:51.044,1,211748,376,-40,45.6,1.9,3.1,0.8
2026-07-24T03:13:52.277,1,211744,377,-42,45.6,3.0,3.9,2.1
2026-07-24T03:13:53.498,1,211744,378,-38,45.6,3.0,4.0,2.1
2026-07-24T03:13:54.630,1,211736,379,-40,47.2,3.0,3.9,2.1
2026-07-24T03:13:55.758,1,211728,380,-40,45.6,3.0,4.0,2.0
2026-07-24T03:13:56.985,1,211732,382,-39,45.6,1.2,2.5,0.0
2026-07-24T03:13:58.112,1,211744,383,-40,45.6,2.9,3.8,2.1
2026-07-24T03:13:59.341,1,211740,384,-38,45.6,3.0,3.9,2.0
2026-07-24T03:14:00.467,1,211756,385,-37,45.6,3.3,4.4,2.1
2026-07-24T03:14:01.594,1,211756,386,-36,46.1,3.0,4.1,2.0
2026-07-24T03:14:02.822,1,211756,387,-40,45.6,3.0,3.9,2.0
2026-07-24T03:14:03.954,1,211756,389,-36,45.6,2.5,3.8,1.2
2026-07-24T03:14:05.153,1,211748,390,-38,46.1,2.1,3.5,0.8
2026-07-24T03:14:06.292,1,211752,391,-38,45.6,2.8,3.5,2.1
2026-07-24T03:14:07.408,1,211760,392,-42,45.6,2.9,3.7,2.1
2026-07-24T03:14:08.559,1,211740,393,-39,46.1,3.0,4.0,2.0
2026-07-24T03:14:09.791,1,210008,394,-39,45.6,3.1,4.1,2.1
2026-07-24T03:14:11.025,1,211740,396,-38,45.6,1.2,2.4,0.0
2026-07-24T03:14:12.209,1,211752,397,-42,46.1,3.1,4.1,2.0
2026-07-24T03:14:13.338,1,211752,398,-38,46.1,2.9,3.7,2.1
2026-07-24T03:14:14.605,1,211740,399,-39,46.1,2.9,3.7,2.1
2026-07-24T03:14:15.834,1,211740,400,-39,46.1,2.9,3.8,2.1
2026-07-24T03:14:17.057,1,211740,402,-39,45.6,1.3,2.6,0.0
2026-07-24T03:14:18.257,1,211740,403,-39,45.6,3.0,4.0,1.9
2026-07-24T03:14:19.379,1,211748,404,-37,46.1,3.0,3.8,2.1
2026-07-24T03:14:20.539,1,211756,405,-40,46.1,3.0,4.0,2.1
2026-07-24T03:14:21.739,1,211760,406,-37,45.6,3.0,4.0,2.0
2026-07-24T03:14:22.899,1,211764,407,-38,46.1,2.8,3.6,2.0
2026-07-24T03:14:24.232,1,211756,409,-41,46.1,2.0,3.3,0.8
2026-07-24T03:14:25.422,1,211744,410,-44,46.1,3.0,3.9,2.1
2026-07-24T03:14:26.550,1,211748,411,-39,46.1,2.9,3.7,2.0
2026-07-24T03:14:27.713,1,211748,412,-38,45.6,2.8,3.6,2.0
2026-07-24T03:14:28.943,1,211748,414,-39,46.1,3.1,4.1,2.1
2026-07-24T03:14:30.134,1,211756,415,-37,46.1,2.6,3.3,1.9
2026-07-24T03:14:31.261,1,211760,416,-36,46.1,3.1,4.0,2.1
2026-07-24T03:14:32.423,1,211764,417,-39,46.1,2.9,3.6,2.1
2026-07-24T03:14:33.650,1,211752,418,-37,46.1,3.1,4.0,2.2
2026-07-24T03:14:34.847,1,211748,419,-37,46.1,2.9,3.9,2.0
2026-07-24T03:14:36.005,1,211748,421,-38,46.1,1.4,2.7,0.1
2026-07-24T03:14:37.238,1,211748,422,-36,46.1,3.0,4.0,2.1
2026-07-24T03:14:38.563,1,211756,423,-37,46.1,3.2,4.3,2.1
2026-07-24T03:14:39.894,1,211752,424,-38,46.1,3.0,3.9,2.1
2026-07-24T03:14:41.123,1,211752,426,-39,46.1,2.4,3.1,1.6
2026-07-24T03:14:42.363,1,211732,427,-39,46.1,3.0,4.0,2.1
2026-07-24T03:14:43.580,1,211736,428,-36,46.1,3.1,4.0,2.1
2026-07-24T03:14:44.712,1,211756,429,-39,46.1,2.9,3.7,2.0
2026-07-24T03:14:46.052,1,211760,431,-38,46.1,3.1,4.1,2.1
2026-07-24T03:14:47.257,1,211748,432,-40,46.1,2.4,3.9,0.9
2026-07-24T03:14:48.392,1,212576,433,-39,46.1,3.7,4.3,3.0
2026-07-24T03:14:49.494,1,212580,434,-37,46.1,2.9,3.8,2.0
2026-07-24T03:14:50.749,1,212580,435,-39,46.1,2.9,3.8,2.0
2026-07-24T03:14:51.977,1,212572,437,-38,46.1,1.3,2.7,0.0
2026-07-24T03:14:54.148,1,212572,438,-39,46.1,2.9,3.5,2.3
2026-07-24T03:14:55.320,1,212580,440,-38,46.1,2.2,3.7,0.8
2026-07-24T03:14:56.487,1,212576,441,-39,46.1,2.8,3.7,2.0
2026-07-24T03:14:57.681,1,211960,442,-38,46.1,2.9,3.9,2.0
2026-07-24T03:14:59.006,1,212580,443,-38,46.1,2.8,3.7,2.0
2026-07-24T03:15:00.168,1,212576,445,-38,46.1,2.1,3.5,0.8
2026-07-24T03:15:01.296,1,212564,446,-39,46.1,2.6,4.0,1.1
2026-07-24T03:15:02.526,1,212568,447,-38,46.1,3.4,3.9,2.9
2026-07-24T03:15:03.756,1,212580,448,-37,46.1,3.1,4.1,2.0
2026-07-24T03:15:05.087,1,212580,450,-38,46.1,1.3,2.6,0.0
2026-07-24T03:15:06.290,1,212580,451,-37,46.1,3.2,3.7,2.8
2026-07-24T03:15:07.418,1,212568,452,-38,46.1,2.9,3.8,2.0
2026-07-24T03:15:08.567,1,212580,453,-42,46.7,2.8,3.7,2.0
2026-07-24T03:15:09.899,1,212580,454,-39,46.1,2.9,3.9,1.9
2026-07-24T03:15:11.101,1,212580,456,-39,46.1,2.0,3.2,0.7
2026-07-24T03:15:12.255,1,212572,457,-42,46.1,2.9,3.7,2.0
2026-07-24T03:15:13.585,1,212572,458,-39,46.1,3.0,4.0,2.0
2026-07-24T03:15:14.816,1,212568,459,-39,46.1,3.0,3.9,2.0
2026-07-24T03:15:16.047,1,212568,461,-38,46.1,1.2,2.4,0.0
2026-07-24T03:15:17.272,1,212580,462,-40,46.1,3.0,4.0,2.0
2026-07-24T03:15:18.471,1,212580,463,-38,45.6,3.1,4.0,2.1
2026-07-24T03:15:19.598,1,212572,464,-37,46.7,2.9,3.6,2.1
2026-07-24T03:15:20.754,1,212572,465,-38,46.1,2.8,3.6,2.0
2026-07-24T03:15:21.953,1,212580,467,-39,47.8,1.3,2.6,0.0
2026-07-24T03:15:23.113,1,212568,468,-39,46.1,3.1,3.7,2.5
2026-07-24T03:15:24.338,1,212568,469,-39,46.1,2.9,3.9,2.0
2026-07-24T03:15:25.542,1,212580,470,-39,46.1,3.1,4.1,2.0
2026-07-24T03:15:26.657,1,212584,471,-36,46.1,2.9,3.9,2.0
2026-07-24T03:15:27.782,1,212580,472,-36,46.1,2.8,3.6,1.9
2026-07-24T03:15:28.946,1,212580,474,-39,46.1,2.8,3.7,2.0
2026-07-24T03:15:30.154,1,212584,475,-38,45.6,2.1,3.4,0.7
2026-07-24T03:15:31.306,1,212584,476,-38,46.1,2.9,3.8,2.1
2026-07-24T03:15:32.631,1,212580,477,-42,46.1,3.1,4.1,2.0
2026-07-24T03:15:33.833,1,212572,478,-39,46.1,3.0,4.0,2.0
2026-07-24T03:15:34.959,1,212556,480,-39,46.1,1.4,2.7,0.1
2026-07-24T03:15:36.119,1,212564,481,-36,46.1,3.0,3.9,2.1
2026-07-24T03:15:37.451,1,212580,482,-37,46.1,3.1,4.1,2.1
2026-07-24T03:15:38.675,1,212572,483,-37,46.1,3.0,4.0,1.9
2026-07-24T03:15:39.904,1,212580,484,-37,46.1,3.1,4.1,2.1
2026-07-24T03:15:41.105,1,212572,486,-40,46.1,2.0,3.2,0.8
2026-07-24T03:15:42.232,1,212560,487,-38,46.1,2.9,3.7,2.1
2026-07-24T03:15:43.358,1,212568,488,-37,46.1,2.9,3.7,2.0
2026-07-24T03:15:44.512,1,212580,489,-39,46.1,2.8,3.7,2.0
2026-07-24T03:15:45.752,1,212580,490,-38,46.1,3.0,4.0,1.9
2026-07-24T03:15:46.970,1,212592,492,-37,46.1,1.9,3.7,0.1
2026-07-24T03:15:48.297,1,212572,493,-39,47.2,2.9,3.7,2.2
2026-07-24T03:15:49.427,1,212568,494,-37,46.1,3.0,3.9,2.0
2026-07-24T03:15:50.637,1,212568,495,-40,46.1,3.0,4.1,1.9
2026-07-24T03:15:51.782,1,212584,496,-37,46.1,3.0,3.9,2.0
2026-07-24T03:15:53.010,1,212584,498,-37,46.7,1.2,2.3,0.0
2026-07-24T03:15:54.209,1,212584,499,-40,46.1,3.1,4.1,2.1
2026-07-24T03:15:55.470,1,212584,500,-36,46.7,2.9,3.8,2.0
2026-07-24T03:15:57.650,1,212572,501,-37,46.1,3.0,4.0,2.0
2026-07-24T03:15:58.848,1,212568,503,-39,47.8,2.4,3.8,0.9
